age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
52,4,204447,11,9,2,7,0,4,1,4386,0,40,39,1
42,4,59474,11,9,0,7,1,4,1,0,0,40,39,0
31,4,323055,11,9,2,14,0,4,1,0,0,50,39,1
59,4,196482,11,9,6,1,4,4,0,0,0,40,39,0
24,4,653574,11,9,4,3,3,4,1,0,0,40,8,0
23,4,434467,11,9,4,12,1,4,1,0,0,48,39,0
36,4,135162,11,9,4,12,3,4,1,0,0,45,0,0
21,4,231160,15,10,4,8,3,4,1,0,0,25,39,0
17,4,151799,1,7,4,8,3,4,0,0,0,20,39,0
34,4,197886,9,13,2,12,0,4,1,0,0,60,39,1
33,4,173248,11,9,2,8,0,2,1,0,0,35,39,0
20,4,165804,15,10,4,1,3,3,0,0,0,40,39,0
18,4,157131,1,7,4,12,3,4,0,0,0,30,39,0
37,4,105044,15,10,2,4,0,4,1,0,0,42,39,1
22,0,217421,15,10,4,0,3,4,0,0,0,30,39,0
18,4,186909,15,10,4,8,3,4,0,0,0,16,39,0
46,4,187715,15,10,2,12,0,4,1,0,0,50,39,0
38,4,196123,11,9,2,3,0,4,1,0,0,50,39,0
57,4,140426,10,16,2,13,0,4,1,0,1977,40,11,1
27,4,42696,11,9,3,8,4,4,0,0,0,40,39,0
25,4,323545,11,9,4,13,1,2,0,0,0,40,39,0
20,4,84726,15,10,4,13,1,4,0,0,0,40,39,0
38,5,187411,11,9,2,4,0,4,1,0,0,40,39,1
53,4,178356,7,12,2,4,0,4,1,2407,0,99,39,0
32,4,207201,9,13,4,10,1,4,1,0,0,45,39,1
33,1,615893,12,14,2,14,0,2,1,0,0,40,27,0
19,0,172582,15,10,4,0,3,4,1,0,0,50,39,0
36,4,134367,11,9,0,8,3,4,0,0,0,30,39,0
26,2,80485,9,13,4,10,1,4,0,0,0,38,39,0
33,4,96128,1,7,4,3,3,4,1,0,0,40,39,0
46,4,191204,8,11,4,4,3,4,0,0,0,40,39,0
24,7,231473,7,12,2,1,0,4,1,0,0,30,39,0
45,4,255348,15,10,0,4,1,4,0,0,0,40,39,0
30,4,133602,9,13,0,4,1,4,1,0,0,40,39,0
26,6,109609,15,10,5,3,1,4,1,0,0,30,39,0
24,4,229773,15,10,2,3,0,4,1,0,0,35,39,0
37,4,269329,8,11,0,10,1,4,0,8614,0,45,39,1
49,7,391585,9,13,2,4,0,4,1,15024,0,40,39,1
33,6,199539,11,9,2,14,0,4,1,0,0,65,39,0
50,5,204447,15,10,0,11,1,4,1,0,0,40,39,0
54,4,210736,11,9,2,3,0,4,1,0,0,40,39,1
19,4,111232,2,8,4,14,3,4,1,0,0,15,39,0
41,4,120277,9,13,2,10,0,4,1,0,0,40,39,1
17,4,194612,1,7,4,8,3,4,1,0,0,25,39,0
55,1,113398,15,10,4,1,4,4,1,0,0,40,39,0
18,4,118376,15,10,4,8,3,4,0,0,0,16,0,0
35,4,341643,9,13,4,12,1,4,1,0,0,55,39,0
30,4,97757,8,11,2,10,5,4,0,0,0,36,39,1
28,4,209641,11,9,4,8,1,4,1,0,0,32,39,0
41,7,293485,15,10,2,1,5,4,0,3103,0,40,39,1
54,6,118365,0,6,0,8,1,2,0,0,0,10,39,0
26,2,273399,15,10,4,11,1,4,1,0,0,40,29,0
33,0,102130,15,10,4,0,3,4,1,0,0,40,39,0
46,4,153254,11,9,2,7,0,2,1,0,0,40,39,0
32,4,147284,8,11,2,12,0,4,1,0,0,50,39,1
41,6,287037,11,9,2,10,0,4,1,0,0,40,39,0
52,4,68982,9,13,2,4,0,4,1,0,0,50,39,1
54,4,53833,4,3,2,14,0,4,1,0,0,40,39,1
60,6,236470,5,4,2,5,0,4,1,0,0,40,39,0
21,4,162667,9,13,4,1,1,4,1,0,0,40,4,0
19,4,268392,11,9,4,12,4,2,0,0,0,30,39,0
40,4,222011,12,14,4,10,1,4,0,3325,0,40,39,0
44,2,193755,7,12,4,11,1,4,1,0,0,40,39,0
32,6,171091,11,9,2,12,0,4,1,0,0,40,39,0
45,7,199326,12,14,2,10,0,4,1,0,0,45,39,1
21,4,236684,15,10,4,8,2,2,0,0,0,8,39,0
49,4,168211,11,9,2,11,0,4,1,0,0,40,39,1
70,0,148065,15,10,2,0,0,4,1,0,0,4,39,1
18,4,436163,1,7,4,10,3,4,1,0,0,20,39,0
39,4,34028,9,13,0,4,4,4,0,0,0,48,39,0
38,0,212048,14,15,0,0,1,4,0,0,0,30,39,0
41,0,202822,11,9,5,0,1,2,0,0,0,32,39,0
45,4,155093,0,6,0,8,1,2,0,0,0,38,6,0
47,2,140644,15,10,2,11,0,4,1,0,0,40,39,1
20,0,273701,15,10,4,0,2,2,1,34095,0,10,39,0
52,4,343440,15,10,2,10,0,4,1,0,0,40,39,0
28,4,77760,11,9,4,8,4,4,1,0,0,40,39,0
22,4,91842,15,10,4,12,1,4,0,0,0,42,39,0
44,4,336513,15,10,2,10,0,4,1,0,0,45,39,0
59,4,243226,0,6,0,7,1,4,0,0,0,40,39,0
25,0,100903,9,13,2,0,5,4,0,0,0,25,39,0
56,6,144380,15,10,3,10,1,2,1,0,0,50,39,0
42,4,24982,15,10,2,3,0,4,1,7688,0,40,39,1
50,4,138022,15,10,2,10,0,4,1,0,0,40,39,0
49,6,102110,11,9,2,13,0,4,1,0,0,30,39,1
62,4,174711,11,9,4,1,1,4,0,0,0,32,39,0
35,4,188069,12,14,4,10,1,4,1,13550,0,55,0,1
18,4,192409,2,8,4,8,3,4,0,0,0,25,39,0
44,4,260046,11,9,0,14,1,4,1,0,0,40,39,0
54,7,119565,9,13,2,4,0,4,1,0,0,40,33,1
22,7,255575,7,12,4,10,1,4,0,0,0,15,39,0
59,4,99131,11,9,2,1,5,4,0,0,0,40,39,0
27,4,190525,8,11,4,7,4,4,1,0,0,45,39,0
20,0,162667,11,9,4,0,2,4,1,0,0,40,8,0
53,4,194501,1,7,6,8,3,4,0,0,0,47,39,0
60,2,113658,15,10,2,1,5,4,0,0,0,35,39,0
22,4,406978,9,13,4,4,2,4,0,0,0,40,39,0
56,4,102106,11,9,2,6,0,4,1,0,0,40,39,0
31,4,111883,11,9,4,3,2,4,1,0,0,40,39,0
38,4,193372,15,10,4,4,3,4,0,0,0,40,39,0
34,5,62396,9,13,4,10,1,4,0,0,0,62,39,1
27,4,357348,11,9,5,8,4,4,0,0,0,50,39,0
51,4,204447,15,10,2,10,0,4,1,0,0,45,39,1
22,4,200109,11,9,2,9,5,4,0,4508,0,40,39,0
19,0,26620,15,10,4,0,3,4,0,0,0,40,39,0
58,4,317479,11,9,0,7,1,2,0,0,0,40,39,0
48,4,287480,12,14,2,13,0,4,1,0,0,40,39,1
30,4,132565,15,10,4,3,4,4,1,0,0,40,39,0
19,4,238474,15,10,4,12,3,4,1,0,0,25,39,0
28,7,130620,1,7,5,1,4,1,0,0,0,40,19,0
51,4,122288,15,10,6,7,4,4,0,0,0,36,39,0
61,4,133164,5,4,4,8,1,4,1,0,0,48,39,0
27,4,238859,8,11,4,3,1,4,1,0,0,40,39,0
41,6,142725,11,9,2,14,0,4,1,0,0,45,39,0
19,4,99246,1,7,4,7,1,4,0,0,0,25,39,0
37,4,117381,12,14,2,10,0,4,1,0,0,45,39,0
50,4,270194,9,13,2,4,0,4,1,0,0,60,39,0
24,4,237928,9,13,4,10,1,4,1,0,0,39,39,0
30,4,95299,11,9,2,7,0,1,1,0,0,40,40,1
21,4,162228,15,10,4,1,3,4,1,0,0,40,39,0
57,5,172654,14,15,2,14,0,4,1,15024,0,50,39,1
26,4,165673,11,9,2,12,0,4,1,0,0,40,39,0
26,4,189238,6,5,4,8,3,4,0,0,0,38,8,0
30,4,77266,11,9,0,14,1,4,1,0,0,55,39,0
42,4,173628,9,13,2,4,0,4,1,0,0,40,39,1
33,4,477106,11,9,2,14,0,2,1,0,0,40,39,0
52,4,117700,11,9,0,1,1,4,0,0,0,40,39,0
61,5,61040,15,10,2,12,0,4,1,7688,0,36,39,1
52,6,195462,11,9,2,5,0,4,1,0,0,98,39,1
27,0,308995,15,10,0,0,3,2,0,0,0,40,39,0
44,4,162643,11,9,4,1,1,4,0,0,0,43,39,0
53,4,424079,12,14,2,4,0,4,1,15024,0,55,39,1
51,4,208899,9,13,5,1,4,4,0,0,0,40,39,0
28,4,90547,11,9,2,8,5,2,0,0,0,23,39,0
41,4,155657,1,7,4,6,2,2,0,0,0,40,39,0
44,2,254146,12,14,2,10,0,4,1,0,0,40,39,1
45,4,81534,11,9,2,8,0,1,1,0,0,84,24,1
17,4,108909,11,9,4,12,3,4,0,0,0,20,39,0
27,4,197380,7,12,4,10,1,4,1,0,0,40,39,0
51,4,168660,11,9,2,4,0,4,1,0,0,50,39,0
39,4,203180,15,10,0,5,4,4,0,0,0,45,39,0
26,4,421561,1,7,2,8,2,4,1,0,0,25,39,0
45,4,182313,9,13,2,4,0,4,1,7688,0,50,39,1
60,4,184242,11,9,3,8,4,4,0,0,0,20,39,0
24,0,212300,11,9,5,0,1,4,0,0,0,38,39,0
63,2,150079,11,9,2,1,5,4,0,0,0,35,39,1
21,0,415913,15,10,4,0,3,4,1,0,0,40,39,0
23,0,72953,11,9,4,0,1,4,1,0,0,40,39,0
78,0,165694,12,14,6,0,1,4,0,0,0,15,39,0
52,4,194259,5,4,2,4,5,4,0,0,0,50,39,0
43,4,221550,12,14,4,8,1,4,0,0,0,30,31,0
47,4,185041,15,10,2,3,0,4,1,7298,0,40,39,1
40,4,150471,7,12,0,8,1,4,0,0,0,40,39,0
18,4,179203,15,10,4,12,3,4,0,0,0,20,39,0
49,7,231961,10,16,0,10,4,4,1,0,0,50,39,1
23,4,122346,11,9,4,12,3,4,1,0,0,40,39,0
61,4,204908,6,5,2,3,0,4,1,0,0,40,39,0
43,4,180599,9,13,5,4,4,4,1,8614,0,40,39,1
37,4,151835,14,15,2,12,0,4,1,0,0,45,39,1
41,2,33658,15,10,2,11,0,4,1,0,0,45,39,1
52,4,87205,11,9,0,8,1,4,0,0,0,38,39,0
34,4,227689,8,11,0,13,1,4,0,0,0,64,39,0
61,6,117387,1,7,2,4,0,4,1,0,0,20,39,0
19,1,215891,15,10,4,1,3,4,0,0,0,10,39,0
42,4,196626,5,4,2,3,0,4,1,0,0,40,39,0
68,4,165017,11,9,2,10,0,4,1,0,0,40,22,1
31,4,182237,7,12,2,12,0,4,1,4386,0,45,39,1
32,4,30497,8,11,2,13,0,4,1,0,0,40,39,0
34,4,183557,11,9,0,7,1,4,0,0,0,25,39,0
36,4,342642,12,14,4,4,1,4,1,0,0,15,39,0
60,4,116707,15,10,2,12,0,4,1,7298,0,40,39,1
47,4,165937,11,9,2,7,0,4,1,0,0,50,39,1
47,1,197038,9,13,2,10,0,4,1,0,0,50,39,0
30,4,241885,15,10,2,5,0,4,1,0,0,40,39,0
59,4,167963,11,9,4,1,4,4,1,0,0,40,39,0
58,4,100960,6,5,2,6,0,4,1,0,0,40,39,0
42,4,119679,11,9,2,7,0,4,1,0,1579,42,39,0
58,6,43221,15,10,2,5,0,4,1,0,2415,40,39,1
33,4,123920,15,10,4,4,1,2,0,0,0,40,39,0
37,4,184556,15,10,0,13,4,4,0,0,0,40,39,0
39,4,248445,4,3,2,6,0,4,1,0,0,40,26,0
44,4,214242,15,10,2,14,0,4,1,0,0,50,39,1
35,4,105803,15,10,2,3,0,4,1,0,0,50,39,1
26,4,459548,11,9,4,6,1,4,1,0,0,20,26,0
41,2,133692,9,13,0,11,4,4,0,0,0,40,39,0
18,4,83451,11,9,4,8,3,4,0,0,0,30,39,0
32,0,169186,11,9,2,0,0,4,1,0,0,5,39,0
31,4,243165,9,13,4,10,4,4,1,0,0,40,39,0
20,4,39234,11,9,4,8,3,4,1,0,0,30,39,0
48,4,235646,15,10,2,12,0,4,1,3103,0,40,39,1
32,4,295589,12,14,2,4,0,2,1,0,1977,40,39,1
45,4,55720,9,13,2,10,0,4,1,0,0,40,39,1
36,4,111128,9,13,2,10,0,4,1,0,0,48,39,1
34,4,340458,2,8,4,1,4,4,0,0,0,40,39,0
39,4,172425,8,11,2,1,5,4,0,0,0,20,39,1
53,4,151864,11,9,2,3,0,4,1,0,0,40,39,0
49,4,281647,12,14,2,4,0,4,1,0,0,45,39,1
33,4,193285,9,13,2,10,0,4,1,0,0,38,39,1
38,1,122493,9,13,2,10,0,4,1,4064,0,40,39,0
29,4,334221,15,10,4,8,1,4,0,0,0,18,39,0
48,4,155509,15,10,4,3,1,2,0,0,0,40,39,0
35,2,195516,11,9,0,4,1,4,1,0,0,40,39,0
22,4,361487,11,9,4,3,1,4,1,0,0,40,39,0
54,7,137065,10,16,4,4,1,4,0,0,0,40,39,1
45,4,377757,6,5,2,14,0,4,1,0,0,40,39,0
19,1,30559,11,9,1,12,5,4,0,0,0,40,39,0
25,4,209230,11,9,4,8,3,4,0,0,0,6,39,0
49,4,181363,12,14,2,4,0,4,1,0,0,45,39,1
25,4,509866,11,9,4,14,1,4,1,0,0,78,39,0
19,0,170653,11,9,4,0,3,4,1,0,0,40,22,0
65,6,78875,15,10,2,4,0,4,1,2290,0,40,39,0
36,4,256636,11,9,0,4,1,4,1,0,0,40,39,0
53,4,55139,11,9,4,5,1,4,1,0,0,10,39,0
28,4,70034,5,4,4,1,3,4,1,0,0,40,32,0
33,4,240979,15,10,4,4,1,4,1,0,0,40,39,0
19,0,129586,15,10,4,0,3,4,1,0,0,40,39,0
27,4,200928,15,10,4,12,3,4,1,0,0,22,39,0
43,4,96483,11,9,0,8,3,1,0,0,0,40,35,0
27,4,91189,11,9,4,1,3,4,1,0,0,40,39,0
26,4,142081,11,9,2,8,5,4,0,0,0,40,26,0
32,4,184833,0,6,5,3,4,4,0,0,0,40,39,0
49,0,171411,6,5,0,0,1,4,1,0,0,40,39,0
33,4,86492,11,9,4,14,1,4,1,0,0,87,39,0
17,4,117798,0,6,4,8,3,4,1,0,0,20,39,0
47,4,145886,15,10,0,8,4,4,0,0,0,40,39,0
38,4,283122,11,9,2,7,0,4,1,0,0,40,39,1
24,4,187937,9,13,4,10,4,4,0,0,0,40,39,0
45,4,242552,15,10,4,12,1,2,1,0,0,40,39,0
36,0,370585,11,9,2,0,0,2,1,0,0,40,39,0
42,4,37869,15,10,0,7,1,4,1,0,1590,40,39,0
66,0,376028,11,9,2,0,5,4,0,0,0,20,39,0
45,4,101320,11,9,0,1,4,4,0,0,0,40,39,0
33,4,342730,15,10,2,12,0,4,1,0,0,52,39,0
19,2,27382,15,10,4,1,3,4,1,0,0,40,39,0
50,4,558490,11,9,0,1,1,2,1,0,0,40,39,0
49,4,142287,15,10,2,1,0,4,1,0,1902,50,39,1
45,4,167523,11,9,2,14,0,4,1,0,2179,45,39,0
90,4,90523,11,9,6,14,4,4,1,0,0,99,39,0
29,4,183061,11,9,2,3,0,0,1,0,0,48,39,0
27,4,133937,12,14,4,12,3,4,1,0,0,40,39,0
39,4,101020,2,8,2,7,0,4,1,0,0,40,39,0
24,4,200295,15,10,4,3,1,4,1,0,0,40,39,0
30,7,193380,9,13,4,10,2,4,1,0,0,35,39,0
51,6,156802,11,9,2,5,0,4,1,3103,0,60,39,1
35,4,113481,10,16,2,10,0,4,1,0,0,60,39,0
18,4,130849,15,10,4,12,3,4,0,0,0,15,39,0
34,4,243165,9,13,2,8,0,4,1,0,0,30,39,1
24,2,184678,9,13,4,10,1,4,0,0,0,40,39,0
25,4,421467,7,12,4,6,3,4,1,0,0,26,39,0
45,5,180239,14,15,2,4,0,1,1,7688,0,40,0,1
20,4,132320,15,10,5,3,1,4,1,0,0,40,39,0
41,4,394669,9,13,4,10,1,4,0,0,1741,40,39,0
37,4,176014,11,9,2,12,0,4,1,0,0,50,39,0
26,4,102476,9,13,2,4,0,4,1,0,0,40,39,0
24,4,293579,11,9,4,12,3,2,0,0,0,20,39,0
33,5,281832,10,16,2,10,0,4,1,0,0,40,5,1
26,4,243560,15,10,4,12,4,4,0,0,0,40,0,0
49,4,50567,15,10,0,1,1,4,0,0,0,32,39,0
47,4,344916,7,12,0,14,1,2,1,0,0,40,39,0
37,4,355856,9,13,2,3,0,1,1,0,0,40,1,1
26,4,109186,15,10,2,12,0,4,1,0,0,50,11,0
35,4,182074,11,9,0,6,3,4,1,0,0,35,39,0
44,2,144778,9,13,2,10,0,4,1,0,0,40,39,1
20,4,117222,15,10,4,13,3,4,1,0,0,15,39,0
44,4,176063,9,13,2,4,0,4,1,0,0,45,39,0
38,4,116358,15,10,2,8,0,1,1,0,0,40,30,0
27,4,191628,11,9,4,14,1,2,1,2174,0,40,39,0
53,4,167651,11,9,2,3,0,4,1,0,0,40,39,1
39,4,160123,11,9,6,1,1,4,0,0,0,40,39,0
66,7,71075,15,10,0,4,1,4,0,0,0,55,39,0
33,4,109996,7,12,3,10,3,4,0,0,0,40,39,0
38,4,329980,9,13,4,4,1,4,1,0,0,55,39,0
59,4,177120,6,5,2,8,0,4,1,0,0,40,39,0
37,4,201531,7,12,2,7,0,4,1,0,0,40,39,1
37,4,215392,9,13,0,10,1,4,0,0,0,40,39,0
64,4,66634,5,4,2,3,0,4,1,0,0,40,39,0
35,1,49657,9,13,2,10,0,4,1,7298,0,40,39,1
39,4,215095,1,7,4,10,4,4,0,0,0,30,33,0
32,6,62272,11,9,0,4,4,4,0,0,0,40,39,0
51,4,158508,15,10,0,4,1,4,0,0,0,36,39,0
58,4,83542,11,9,4,8,1,4,1,0,0,40,39,0
59,4,361494,11,9,2,12,0,4,1,0,0,40,39,1
52,4,160703,11,9,2,1,0,4,1,0,0,48,39,0
41,4,176069,11,9,5,7,4,4,0,0,0,40,39,0
25,4,19214,11,9,4,6,1,4,1,0,0,40,39,0
22,7,264710,9,13,4,13,3,4,0,0,0,40,39,0
40,7,50093,12,14,0,10,4,4,0,0,0,20,39,0
55,4,208311,12,14,2,13,0,4,1,0,1977,20,39,1
39,4,167482,11,9,2,8,0,4,1,0,0,60,39,1
63,2,86590,11,9,2,4,5,4,0,0,0,32,39,0
62,4,69867,8,11,2,10,0,4,1,7298,0,50,39,1
45,4,235646,9,13,2,4,0,4,1,0,0,40,39,1
30,4,299507,7,12,5,8,4,4,0,0,0,40,39,0
47,6,158451,15,10,0,8,1,4,0,0,0,45,39,0
22,4,184779,11,9,4,10,1,4,0,0,0,40,39,0
57,4,135796,0,6,2,7,0,2,1,0,0,48,39,0
44,4,209174,9,13,2,4,0,4,1,0,0,70,39,1
24,4,152189,11,9,4,3,3,4,1,0,0,40,39,0
32,4,349028,11,9,2,3,0,4,1,0,0,40,39,0
24,4,145964,9,13,4,4,4,4,1,0,0,40,39,1
59,2,130532,15,10,6,8,1,4,0,0,0,40,31,0
26,4,133373,15,10,4,12,3,4,1,0,0,42,39,0
25,2,206002,11,9,0,13,4,4,0,0,0,40,39,0
33,4,59944,11,9,4,14,1,4,1,0,0,40,39,0
40,4,103395,15,10,2,3,0,4,1,0,0,45,39,1
38,4,301743,11,9,0,8,1,4,0,0,0,35,39,0
51,4,79324,15,10,2,12,0,4,1,0,0,40,39,0
24,4,488541,15,10,4,8,4,2,0,0,0,35,39,0
52,4,312477,11,9,6,14,1,4,1,0,0,40,39,0
60,4,296485,4,3,2,14,0,4,1,0,0,40,39,0
48,5,38240,11,9,2,5,0,4,1,0,0,40,39,1
18,0,264924,15,10,4,0,3,4,0,0,0,40,39,0
24,4,117779,9,13,4,4,3,4,1,0,0,40,39,0
32,4,151773,15,10,2,3,0,4,1,0,0,45,39,0
24,7,147719,12,14,4,10,1,1,1,0,0,20,19,0
33,2,120064,9,13,4,10,1,4,0,0,0,45,39,0
29,4,201954,9,13,4,4,1,4,1,0,0,35,39,0
25,4,120268,9,13,4,10,3,4,1,0,0,70,39,0
22,4,58916,15,10,4,1,1,4,0,0,0,30,39,0
64,6,113929,11,9,2,12,0,4,1,0,0,35,39,0
47,6,33300,7,12,4,5,2,4,1,10520,0,45,39,1
